# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/19/meps_syno_002d.table /lustre/storeA/project/nwp/fark/
#
# TYPE:synop
#
# ATTRIBUTES:17
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.01)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1523923200 1523923200 1020 59.779 21.375 -.03 1016.02 273.95 100 4.85 1016 273.85 100 4.7
 1 1523923200 1523923200 1020 60.178 19.987 8.41 1016.21 272.94 99.98 1.52 1016.2 272.15 99 1.1
 1 1523923200 1523923200 1020 60.454 22.179 10.7 1015.25 276.72 97.56 2.01 1015.2 276.05 99 1.9
 1 1523923200 1523923200 1020 60.175 24.945 13.35 1013.76 279.07 95.5 1.09 1013.7 280.15 99 2
 1 1523923200 1523923200 1020 60.722 21.027 -.49 1015.58 274.55 99.55 4.18 1015.7 272.75 100 4.9
 1 1523923200 1523923200 1020 61.479 21.783 12.51 1014.85 275.94 99.09 1.45 1015 275.85 98 1.9
 1 1523923200 1523923200 1020 60.999 24.492 101.46 1013.71 279.57 99.21 .63 1013.4 281.15 98 1.8
 1 1523923200 1523923200 1020 62.413 22.184 109.18 1014.02 277.45 99.76 .83 1013.8 277.15 99 .7
 1 1523923200 1523923200 1020 62.398 25.671 136.49 1014.45 277.03 99.4 .79 1014.5 278.35 100 1
 1 1523923200 1523923200 1020 63.099 21.64 6.41 1014 276.94 94.89 1.53 1013.9 277.65 94 1
 1 1523923200 1523923200 1020 62.535 24.217 174.48 1013.9 277.56 99.99 1.09 1014 277.95 98 .8
 1 1523923200 1523923200 1020 63.082 25.859 108.8 1014.86 276.35 93.87 1.35 1014.7 278.45 99 .7
 1 1523923200 1523923200 1020 62.893 27.633 104.44 1015.39 276.06 92.33 .84 1014.7 275.25 90 .8
 1 1523923200 1523923200 1020 63.378 28.662 160.38 1015.63 274.12 100 1.05 1016.1 272.55 94 2.1
 1 1523923200 1523923200 1020 62.77 30.975 139.92 1016.47 272.81 98.81 .42 1016.5 272.45 82 1.1
