# COMMAND: Rscript --vanilla /metfark/config/splus/temp /lustre/storeA/project/nwp/fark/2018/04/19/meps_temp_002d.table /lustre/storeA/project/nwp/fark/2018/04/19/meps_temp_002d/
#
# TYPE:temp
#
# ATTRIBUTES:14
# _n:3
# title_string1:Temperature
# title_string2:Relative Humidity
# title_string3:Wind Speed
# axis_string1:T (K)
# axis_string2:Rh (%)
# axis_string3:FF (m/s)
# file_string1:t
# file_string2:rh
# file_string3:ff
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:14
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_wmo*1000 + obs_id
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# pressure_hpa:round(pres,0.01)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(temp,0.01)
# model_variable2:round(rh*100,0.01)
# model_variable3:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_temp,0.01)
# obs_variable2:round(obs_rh,0.01)
# obs_variable3:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg pressure_hpa altitude_meter model_variable1 model_variable2 model_variable3 obs_variable1 obs_variable2 obs_variable3
 1 1523923200 1523923200 26038 59.4 24.6 1000 29.6 278.08 95.58 3.61 276.8 275.9 3
 1 1523923200 1523923200 26038 59.4 24.6 992 29.6 278.52 93.62 3.55 278.2 277.5 NA
 1 1523923200 1523923200 26038 59.4 24.6 988 29.6 278.74 92.65 3.54 279.4 278.8 NA
 1 1523923200 1523923200 26038 59.4 24.6 987 29.6 278.8 92.4 3.55 280.6 280 NA
 1 1523923200 1523923200 26038 59.4 24.6 979 29.6 279.24 90.45 3.6 282 281.5 NA
 1 1523923200 1523923200 26038 59.4 24.6 971 29.6 279.68 88.5 3.73 NA NA 5
 1 1523923200 1523923200 26038 59.4 24.6 925 29.6 282.22 77.26 5.41 282.4 279 5
 1 1523923200 1523923200 26038 59.4 24.6 895 29.6 281.11 75.06 5.59 282 276 NA
 1 1523923200 1523923200 26038 59.4 24.6 893 29.6 281.03 74.91 5.61 NA NA 5
 1 1523923200 1523923200 26038 59.4 24.6 862 29.6 279.88 72.64 5.85 NA NA 6
 1 1523923200 1523923200 26038 59.4 24.6 859 29.6 279.77 72.42 5.88 280 275 NA
 1 1523923200 1523923200 26038 59.4 24.6 850 29.6 279.43 71.76 5.96 279.4 273.4 6
 1 1523923200 1523923200 26038 59.4 24.6 822 29.6 277.49 70.25 6.9 277.8 269.8 NA
 1 1523923200 1523923200 26038 59.4 24.6 791 29.6 275.4 65.39 7.84 275.2 268.2 NA
 1 1523923200 1523923200 26038 59.4 24.6 773 29.6 274.27 58.06 8.28 274 269.7 NA
 1 1523923200 1523923200 26038 59.4 24.6 739 29.6 272.15 44.21 9.18 271.5 263.5 NA
 1 1523923200 1523923200 26038 59.4 24.6 700 29.6 269.71 28.33 10.29 270.3 250.3 10
 1 1523923200 1523923200 26038 59.4 24.6 681 29.6 268.31 35.13 11.17 269.3 247.3 NA
 1 1523923200 1523923200 26038 59.4 24.6 668 29.6 267.35 39.79 11.78 267.9 248.9 NA
 1 1523923200 1523923200 26038 59.4 24.6 647 29.6 265.79 47.32 12.75 265.9 257.9 NA
 1 1523923200 1523923200 26038 59.4 24.6 624 29.6 264.09 55.56 13.82 NA NA 10
 1 1523923200 1523923200 26038 59.4 24.6 616 29.6 263.5 58.43 14.19 262.1 257.8 NA
 1 1523923200 1523923200 26038 59.4 24.6 607 29.6 262.83 61.65 14.6 262.7 260.9 NA
 1 1523923200 1523923200 26038 59.4 24.6 605 29.6 262.68 62.37 14.7 NA NA 13
 1 1523923200 1523923200 26038 59.4 24.6 554 29.6 258.91 80.64 17.06 NA NA 19
 1 1523923200 1523923200 26038 59.4 24.6 500 29.6 254.91 99.99 19.56 254.5 252.5 18
 1 1523923200 1523923200 26038 59.4 24.6 473 29.6 251.55 99.08 18.77 252.1 250.3 NA
 1 1523923200 1523923200 26038 59.4 24.6 400 29.6 242.47 96.62 16.62 242.5 239.4 18
 1 1523923200 1523923200 26038 59.4 24.6 375 29.6 238.24 97.16 19.79 NA NA 18
 1 1523923200 1523923200 26038 59.4 24.6 339 29.6 232.15 97.94 24.38 233.1 227.1 NA
