# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d.table /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d/
#
# TYPE:synop
#
# ATTRIBUTES:25
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# min1:-999999
# max1:+999999
# min2:-999999
# max2:+999999
# min3:-999999
# max3:+999999
# min4:-999999
# max4:+999999
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:2
# 1:ECMWF
# 2:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1524528000 1524528000 1020 59.779 21.375 6 1001.7 277.22 27617.74 5.7 1002.1 275.95 275.95 7.1
 1 1524528000 1524528000 1020 60.178 19.987 11 1000.38 277.42 27706.96 4.32 1000.7 277.55 277.35 4
 1 1524528000 1524528000 1020 60.454 22.179 8 1001.58 278.15 27745.39 4.49 1001.7 278.65 278.15 3.2
 1 1524528000 1524528000 1020 60.175 24.945 3 1005.06 277.48 27167.86 6.1 1005 277.65 271.95 3.3
 1 1524528000 1524528000 1020 60.722 21.027 5 1000.21 276.36 27533.29 7.04 1000.4 276.55 276.55 9.6
 1 1524528000 1524528000 1020 61.479 21.783 9 1000.53 277.06 27625.6 5.11 1000.7 276.75 275.45 4.5
 1 1524528000 1524528000 1020 62.413 22.184 93 1001.21 275.73 27290.27 5.4 1001 276.65 273.05 3.9
 1 1524528000 1524528000 1020 63.099 21.64 7 1000.46 277.31 27215.99 4.59 1000.5 278.75 270.55 4.4
 1 1524528000 1524528000 1020 62.535 24.217 159 1004.52 274.76 26973.37 4.81 1004.6 275.95 268.65 1.9
 1 1524528000 1524528000 1020 63.082 25.859 130 1006.46 273.36 26999.89 4.21 1006.4 275.75 268.25 3.6
 1 1524528000 1524528000 1020 62.893 27.633 87 1008.44 272.35 26989.53 3.84 1008 274.25 269.75 2.6
 1 1524528000 1524528000 1020 63.378 28.662 166 1009.19 272.19 27017.2 3.3 1009.5 273.35 267.25 2.8
 1 1524528000 1524528000 1020 62.77 30.975 155 1011.47 270.89 26903.54 3 1011.5 272.35 267.35 2.4
 1 1524528000 1524528000 1020 63.844 23.125 6 1002.38 277.13 27143.48 4.3 1002.4 278.75 272.05 NA
 1 1524528000 1524528000 1020 64.05 24.725 76 1004.29 275.07 27196.5 4.06 1004.4 276.75 270.75 4.7
 1 1524528000 1524528000 1020 64.937 25.373 10 1004.55 275.57 27197.7 4.9 1004.5 275.25 271.75 2.3
 1 1524528000 1524528000 1020 65.4 26.963 120 1006.05 274.22 27142.93 3.68 1006.3 274.95 270.75 1.9
 1 1524528000 1524528000 1020 64.931 28.747 222 1008.22 272.8 27097 3.43 1008.5 270.65 269.85 1.4
 1 1524528000 1524528000 1020 65.847 24.174 8 1003.41 274.77 27283.19 3.38 1003.6 274.85 273.35 1.5
 1 1524528000 1524528000 1020 66.773 23.963 85 1002.73 275.71 27391.19 3.7 1002.6 275.45 274.85 3
 1 1524528000 1524528000 1020 66.562 25.838 189 1004.07 275.03 27252.71 3.1 NA 275.45 271.75 NA
 1 1524528000 1524528000 1020 67.367 26.629 179 1003.49 276.03 27280.63 3.9 1003.5 276.25 271.85 3
 1 1524528000 1524528000 1020 66.716 27.159 208 1004.86 274.81 27207.01 3.93 1004.7 275.75 271.85 3
 1 1524528000 1524528000 1020 66.834 28.674 214 1005.93 273.21 27186.83 4.18 1005.7 274.95 270.75 3.2
 1 1524528000 1524528000 1020 69.049 20.791 480 996.89 272.61 27190.22 3.55 996.6 273.75 272.85 7.1
 1 1524528000 1524528000 1020 69.756 27.007 107 999.94 274.07 27269.16 5.07 999.8 275.35 272.55 3.7
 1 1524528000 1524528000 1020 68.849 28.299 121 1001.92 275.6 27314 4.71 1002.2 276.95 273.55 5.8
 1 1524528000 1524528000 1020 64.217 27.752 160 1007.63 273.48 27012.66 4.61 1007.7 276.05 269.25 2.7
 1 1524528000 1524528000 1020 59.959 19.954 8 1000.68 277.33 27655.55 6.93 1000.9 276.15 276.15 9.7
 1 1524528000 1524528000 1020 60.301 19.131 3 999.54 277.48 27692.83 7.31 999.3 277.65 277.65 8.5
 1 1524528000 1524528000 1020 59.505 20.347 4 1001.59 277.68 27691.83 6.42 1001.8 276.55 276.45 8.2
 1 1524528000 1524528000 1020 60.258 20.747 23 1000.64 276.57 27559.73 6.38 1000.9 277.25 277.05 4.3
 1 1524528000 1524528000 1020 59.774 22.949 7 1002.7 278.28 27651.72 8.34 1003 277.35 276.85 9.6
 1 1524528000 1524528000 1020 60.327 24.957 51 1005.3 277.11 27062.89 3.98 NA NA NA NA
 1 1524528000 1524528000 1020 59.931 24.014 12 1003.73 278.03 27460.05 7.83 1003.8 276.75 275.25 6.5
 1 1524528000 1524528000 1020 59.985 25.599 0 1005.58 277.56 27199.58 7.73 1004.9 276.95 272.75 11.6
 1 1524528000 1524528000 1020 60.204 25.625 19 1005.84 277.07 27209.61 7.37 1005.6 276.95 273.45 10.9
 1 1524528000 1524528000 1020 60.375 26.959 11 1007.58 276.88 27275.24 7.89 1007.8 277.15 271.75 6.5
 1 1524528000 1524528000 1020 60.275 26.445 5 1006.83 277.11 27290.59 8.81 1006.9 277.35 273.25 9.2
 1 1524528000 1524528000 1020 60.287 27.185 4 1007.81 276.86 27252.7 8.32 1007.5 277.15 271.35 9.6
